folder,filename,duration_s,drive_url,abs_path,file_id
"~~~lucas camera syria","P5030811.MOV",6,"https://drive.google.com/file/d/1U-2vOvMdsUde-R9mOchHR5DbC6aBC1TG/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030811.MOV","2a7ea615-7ec1-4778-910b-e261bd122220"
"~~~lucas camera syria","P5030812.MOV",43,"https://drive.google.com/file/d/1yv95nSXruoOZtwMwtVD9kH9iAlC13z_x/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030812.MOV","47f6e013-f046-4629-9ed8-1309f27c8f5e"
"~~~lucas camera syria","P5030813.MOV",29,"https://drive.google.com/file/d/1M9L5eNdqt5Xdo6QqzTiUiYNGX-bLtMtL/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030813.MOV","4c1b22a1-27c3-44de-9699-4f998eb064ee"
"~~~lucas camera syria","P5030814.MOV",8,"https://drive.google.com/file/d/1mE2VfotREzTUwxhkqYLGVDFtuCb-34I7/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030814.MOV","47efe69a-efa5-4681-b673-1f33d1ac45df"
"~~~lucas camera syria","P5030821.MOV",13,"https://drive.google.com/file/d/1Tu8frTVH0Tb4mWclqhrwhe2wtnNNz7Ys/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030821.MOV","e244468a-943f-48ef-9885-874b6524f3dc"
"~~~lucas camera syria","P5030826.MOV",5,"https://drive.google.com/file/d/1Y0ZmbR7uP87QTp-jfYIVekfoWWzaZjiA/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030826.MOV","44ade9fa-7b7e-469e-9e1a-6aeeae4abd35"
"~~~lucas camera syria","P5030827.MOV",21,"https://drive.google.com/file/d/1ROtzsZRSTfUNQXADaD6j4ILLzjF7Msp7/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030827.MOV","924f3d12-bda1-4860-8134-24f90c4d489b"
"~~~lucas camera syria","P5030831.MOV",12,"https://drive.google.com/file/d/11GnYl38niXu_ovpb6qLKsPZfNwv6XA0N/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030831.MOV","766c1e91-9ccd-4537-8422-2702c380c101"
"~~~lucas camera syria","P5030832.MOV",10,"https://drive.google.com/file/d/1zeehSkF0E3b_t4XYOdqcQRLCqh6TvSxR/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030832.MOV","2a109780-e1c0-4439-91b7-4938dbf6663b"
"~~~lucas camera syria","P5030834.MOV",18,"https://drive.google.com/file/d/16yr6KqZtXJD5Fu2olO3iLxgnOq10Mn8D/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030834.MOV","b222915a-5ab7-46da-a379-ab346f199563"
"~~~lucas camera syria","P5030835.MOV",23,"https://drive.google.com/file/d/1FDKugZhZaWua2w0fdmOoBPk37oWWEgHB/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030835.MOV","10210028-c5e5-476f-9513-6cfd4ecee66d"
"~~~lucas camera syria","P5030843.MOV",23,"https://drive.google.com/file/d/1_zBZEMPN7z2g3tClN1VxmflRQ0vfQKBE/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030843.MOV","c54af7cb-c88f-4bc1-8df5-c29764d5cc9e"
"~~~lucas camera syria","P5030844.MOV",35,"https://drive.google.com/file/d/1mv6PhVEBSbAk16-XTT1MicoyfhU4bPKc/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030844.MOV","b8f3a333-b008-4871-be54-9b4befef8f83"
"~~~lucas camera syria","P5030845.MOV",56,"https://drive.google.com/file/d/1iNPluYG2J7PlN8Ntw0oAK_51jKDQDl82/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030845.MOV","6e91610c-1c05-4b69-8bd3-a9e2f67fc63d"
"~~~lucas camera syria","P5030863.MOV",8,"https://drive.google.com/file/d/1_r5obYfmyTIx77MnHNozCM82YRcsdsW7/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030863.MOV","cbbeb071-45c1-4e0b-bb73-574cceea6eae"
"~~~lucas camera syria","P5030901.MOV",5,"https://drive.google.com/file/d/1fyvYga1tQvshYLNIG5XpUtIDxmNDh1RO/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030901.MOV","93921570-32a8-4563-b542-016016bfe439"
"~~~lucas camera syria","P5030902.MOV",58,"https://drive.google.com/file/d/1MU80HF3RJiCen-iH0GR1AWauo5heqqh6/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030902.MOV","c1e28df4-2ffc-4ea5-9bd5-27b525e038df"
"~~~lucas camera syria","P5030904.MOV",11,"https://drive.google.com/file/d/1JXFIl6j696PKyN-RpgCxDh_yEyN4p5WB/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030904.MOV","02547315-a0fb-459a-aa25-89639f48b17d"
"~~~lucas camera syria","P5030925.MOV",39,"https://drive.google.com/file/d/1Cm9pdu40GbLOjxCEURJLKBu0vkBmbG7_/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030925.MOV","7412c1bb-840b-47b8-b802-265eba493281"
"~~~lucas camera syria","P5030926.MOV",6,"https://drive.google.com/file/d/1hakARt2AwKbAyn51JSIjnAeAOUKBpJdR/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030926.MOV","baf70e39-9b49-40b2-b5fc-7d2f55f66962"
"~~~lucas camera syria","P5030927.MOV",29,"https://drive.google.com/file/d/1tVLaNCBcLx6xjznzmd9ZQ3fKYnMe_evq/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030927.MOV","d862f24d-cd4d-4dc0-9f60-cfb869f6b60e"
"~~~lucas camera syria","P5030928.MOV",123,"https://drive.google.com/file/d/1EGxTXw9VEyNos4gnLsqRoRcqlL76N741/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030928.MOV","16f7301a-fa69-44f4-84fd-15089447953e"
"~~~lucas camera syria","P5030939.MOV",18,"https://drive.google.com/file/d/1gF97DgRlRlrrFKN8Y2zIB00fKqg7lnSA/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030939.MOV","c5cef89f-ff59-427a-ac15-0c98b7d5acc3"
"~~~lucas camera syria","P5030942.MOV",9,"https://drive.google.com/file/d/1SeP9txTTIMm-plCf0upo5buxRKnyqoMQ/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030942.MOV","50599312-6224-459b-adfb-914caad941bb"
"~~~lucas camera syria","P5030947.MOV",26,"https://drive.google.com/file/d/1ro0Aw62VYSdPx49aVB9GrhUqx17DGVNI/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030947.MOV","5f6d04a6-f197-441c-862a-d346f91e6f0b"
"~~~lucas camera syria","P5030948.MOV",6,"https://drive.google.com/file/d/1OYl2GbQdFO0WqGXcKcs0Cw_z76DrvxuL/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5030948.MOV","96bb23ea-8ef0-462c-b99f-b9b581375979"
